Latitude	Longitude	Collisions	Street 1	Street 2
34.0835	-118.3091	54	MELROSE AV	WESTERN AV
34.2214	-118.4677	115	SEPULVEDA BL	ROSCOE BL
33.9892	-118.2827	84	SLAUSON AV	FIGUEROA ST
34.0182	-118.2915	52	VERMONT AV	EXPOSITION BL
34.037	-118.4351	53	PICO BL	SEPULVEDA BL
34.1017	-118.318	58	HOLLYWOOD BL	BRONSON AV
34.1625	-118.5186	69	VENTURA BL	WHITE OAK AV
34.0499	-118.437	67	WESTWOOD BL	SANTA MONICA BL
34.1016	-118.3387	55	HOLLYWOOD	HIGHLAND
33.9892	-118.3089	110	WESTERN AV	SLAUSON AV
34.1898	-118.6426	56	PLATT AV	VICTORY BL
34.194	-118.4312	73	WOODMAN AV	VANOWEN ST
34.3101	-118.4273	53	HUBBARD ST	GLADSTONE AV
34.1938	-118.6059	90	TOPANGA CANYON BL	VANOWEN ST
34.2085	-118.4488	58	VAN NUYS BL	SATICOY ST
34.1867	-118.3987	55	VICTORY BL	BELLINGHAM AV
34.0836	-118.3016	67	MELROSE AV	NORMANDIE AV
33.9748	-118.2652	66	FLORENCE AV	AVALON BL
33.791	-118.2917	92	PACIFIC COAST HY	VERMONT AV
34.2648	-118.5023	67	BALBOA BL	CHATSWORTH ST
34.2084	-118.5535	54	SATICOY ST	TAMPA AV
33.9746	-118.3003	60	NORMANDIE AV	FLORENCE AV
33.9601	-118.2695	60	MANCHESTER AV	SAN PEDRO ST
34.1939	-118.536	121	RESEDA BL	VANOWEN ST
34.2393	-118.3938	65	SHELDON ST	SAN FERNANDO RD
34.1016	-118.3297	58	CAHUENGA BL	HOLLYWOOD BL
34.1866	-118.5535	92	VICTORY BL	TAMPA AV
33.9601	-118.287	88	MANCHESTER AV	HOOVER ST
34.0691	-118.2916	140	VERMONT AV	3RD ST
34.0399	-118.3177	65	ARLINGTON AV	WASHINGTON BL
34.2465	-118.2761	59	FOOTHILL BL	TUJUNGA CANYON BL
34.0014	-118.4679	94	LINCOLN BL	ROSE AV
34.2012	-118.4313	175	SHERMAN WY	WOODMAN AV
33.9721	-118.4303	55	LINCOLN BL	JEFFERSON BL
34.2355	-118.5361	93	NORDHOFF ST	RESEDA BL
34.0578	-118.4478	56	WILSHIRE BL	VETERAN AV
34.0527	-118.3091	57	OLYMPIC BL	WESTERN AV
34.0441	-118.4675	51	WILSHIRE BL	BUNDY DR
34.0635	-118.3091	78	WESTERN AV	6TH ST
34.2356	-118.4763	73	NORDHOFF ST	HASKELL AV
34.1907	-118.6234	93	FALLBROOK AV	VICTORY BL
33.8589	-118.2905	58	190TH ST	VERMONT AV
34.231	-118.5536	84	TAMPA AV	BUSINESS CENTER DR
34.0184	-118.2823	60	FIGUEROA ST	EXPOSITION BL
33.9819	-118.2652	66	GAGE AV	AVALON BL
34.2299	-118.5536	66	TAMPA AV	PARTHENIA ST
34.0633	-118.2738	59	3RD ST	ALVARADO ST
34.0637	-118.2916	78	VERMONT AV	6TH ST
34.2012	-118.4749	102	SHERMAN WY	HASKELL AV
34.2283	-118.4677	102	SEPULVEDA BL	PARTHENIA ST
34.011	-118.3351	77	CRENSHAW BL	MARTIN LUTHER KING JR BL
34.1538	-118.4662	122	VENTURA BL	SEPULVEDA BL
34.1866	-118.536	93	VICTORY BL	RESEDA BL
34.2085	-118.3878	53	LANKERSHIM BL	SATICOY ST
34.1866	-118.5273	56	VICTORY BL	LINDLEY AV
34.0443	-118.2916	95	VERMONT AV	VENICE BL
34.22	-118.5885	83	DE SOTO AV	ROSCOE BL
33.9601	-118.2739	95	MANCHESTER AV	MAIN ST
33.9245	-118.4318	103	VISTA DEL MAR	IMPERIAL HY
34.2216	-118.4488	185	VAN NUYS BL	ROSCOE BL
34.1939	-118.5535	84	TAMPA AV	VANOWEN ST
34.0517	-118.2798	51	OLYMPIC BL	ALVARADO ST
34.0623	-118.344	52	LA BREA AV	WILSHIRE BL
33.96	-118.2917	113	MANCHESTER AV	VERMONT AV
33.7397	-118.2923	53	GAFFEY ST	5TH ST
34.0109	-118.2915	69	MARTIN LUTHER KING JR BL	VERMONT AV
34.2693	-118.5552	61	TAMPA AV	CHATSWORTH ST
33.9748	-118.2564	63	FLORENCE AV	CENTRAL AV
34.194	-118.3703	76	VINELAND AV	VANOWEN ST
34.1649	-118.3746	59	MAGNOLIA BL	LANKERSHIM BL
34.1436	-118.3953	97	LAUREL CANYON BL	VENTURA BL
34.2355	-118.5536	86	NORDHOFF ST	TAMPA AV
34.2012	-118.4574	112	SHERMAN WY	KESTER AV
34.2209	-118.5274	78	ROSCOE BL	LINDLEY AV
33.9309	-118.3961	73	SEPULVEDA BL	IMPERIAL HY
34.1867	-118.3888	60	VICTORY BL	LANKERSHIM BL
34.0353	-118.3779	71	LA CIENEGA BL	VENICE BL
33.9892	-118.2827	56	FIGUEROA ST	SLAUSON AV
34.2083	-118.5885	52	SATICOY ST	DE SOTO AV
34.0037	-118.2915	73	VERNON AV	VERMONT AV
34.2575	-118.5023	108	DEVONSHIRE ST	BALBOA BL
34.1524	-118.4574	78	VENTURA BL	KESTER AV
34.0183	-118.3556	83	LA BREA AV	COLISEUM ST
34.228	-118.4344	60	WOODMAN AV	CHASE ST
34.0499	-118.309	54	WESTERN AV	11TH ST
34.1649	-118.4486	55	VAN NUYS BL	MAGNOLIA BL
34.2083	-118.5885	65	DE SOTO AV	SATICOY ST
34.2737	-118.4117	92	GLENOAKS BL	VAN NUYS BL
34.04	-118.309	99	WESTERN AV	WASHINGTON BL
34.1434	-118.3975	99	VENTURA BL	LAUREL CANYON BL
34.0404	-118.3475	106	LA BREA AV	WASHINGTON BL
34.2222	-118.571	72	WINNETKA AV	ROSCOE BL
34.0216	-118.3556	81	LA BREA	RODEO
34.2469	-118.4195	125	LAUREL CANYON BL	OSBORNE ST
34.0907	-118.3386	52	SANTA MONICA BL	HIGHLAND AV
33.8583	-118.2993	61	190TH ST	NORMANDIE AV
34.1052	-118.3375	141	HIGHLAND AV	FRANKLIN AV
34.2012	-118.4182	96	SHERMAN WY	ETHEL AV
34.0282	-118.2749	91	FIGUEROA ST	ADAMS BL
34.0479	-118.3447	82	LA BREA AV	PICO BL
34.1907	-118.4487	74	VAN NUYS BL	KITTRIDGE ST
34.3156	-118.4408	56	FOOTHILL BL	POLK ST
34.2755	-118.5702	52	RINALDI ST	PORTER RANCH DR
34.2355	-118.5885	90	DE SOTO AV	NORDHOFF ST
34.0436	-118.309	92	WESTERN AV	VENICE BL
34.1112	-118.3358	81	HIGHLAND AV	PAT MOORE WY
34.1864	-118.6234	71	VICTORY BL	FALLBROOK AV
34.2217	-118.3965	59	ROSCOE BL	LAUREL CANYON BL
34.1016	-118.3387	111	HOLLYWOOD BL	HIGHLAND AV
34.0745	-118.2917	80	VERMONT AV	1ST ST
34.2575	-118.5023	84	BALBOA BL	DEVONSHIRE ST
33.9455	-118.309	63	WESTERN AV	CENTURY BL
33.989	-118.3308	80	CRENSHAW BL	SLAUSON AV
34.2287	-118.5273	79	PARTHENIA ST	LINDLEY AV
34.0715	-118.3764	54	LA CIENEGA BL	SAN VICENTE BL
34.1938	-118.6016	63	OWENSMOUTH AV	VICTORY BL
34.1794	-118.4487	72	VAN NUYS BL	OXNARD ST
34.098	-118.3414	57	SUNSET BL	ORANGE DR
34.1867	-118.4749	60	VICTORY BL	HASKELL AV
34.0717	-118.2671	98	ALVARADO ST	TEMPLE ST
34.1939	-118.5011	53	VANOWEN ST	BALBOA BL
34.2011	-118.536	64	SHERMAN WY	RESEDA BL
34.0526	-118.2916	54	OLYMPIC BL	VERMONT AV
34.201	-118.5535	84	TAMPA AV	SHERMAN WY
